teff,prot,area,moment,BpmRp_interp
4167.327840730293,13.978015679223788,68,874.2058823529401,1.6668283624181315
4169.267183655673,13.12183403949697,14,42.071428571428584,1.6648433736401131
4143.56267233965,14.239398310301096,14,44.64285714285715,1.6864451041681525
4128.515734083454,13.582652798983212,46,527.4130434782612,1.6943757698552355
4108.106062328985,14.539636516362863,73,1063.3424657534238,1.7019281049197432
4130.896681256392,13.822516489229276,1,0.0,1.6933439960778884
4080.152170080228,13.275207979421987,111,1961.4594594594512,1.7086167908538898
4083.9580084184386,14.235124830643894,21,179.23809523809524,1.7079546277186264
4100.6473143163785,13.66268842028551,5,10.8,1.7041261139369757
4063.6705494140638,12.496206049216607,109,1891.9449541284373,1.7105803219350106
3989.0966234796815,13.36480019934716,106,1788.4528301886794,1.72799447296342
