Ruprecht_37	9	=,,,
NGC_1785	8	:,,,non
NGC_2311	7	=,,,
Bochum_15	7	=,n,o,
FSR_1211	7	=,,,
IRAS_07255-2012	7	=,,,irc
NGC_2682	6	=,,,
FSR_1268	6	=,,,
FSR_1133	5	=,,,
NGC_2467-east	5	=,n,o,irc
Ruprecht_20	4	=,,,
CAR	4	no K13 match
ABDMG	2	no K13 match
Oh_56	2	no K13 match
Oh_252	2	no K13 match
Oh_31	1	no K13 match
Oh_143	1	no K13 match
IC_2391	1	=,,,
Oh_58	1	no K13 match
CARN	1	no K13 match
THA	1	no K13 match
