src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,comments,logg,logg Err,N_planets,R_s,R_s Err,R_p,R_p Err,T_eq,T_eff,T_eff Err,Insol_p,SNR_p,Centroid offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Created,Updated
spoc,169226822,00675.01,PC,160.55867,-3.835058,9.617,0.02,1543.941968,0.000386,4.178161,0.000113,4.304954,0.025328,11743.801078,72.28212,9,WASP-127 b,4.18582,0.0,1,1.39,0.0,15.288753,0.09412,1280.524792,5620.0,0.0,635.437683,160.82115,False,5,5,5,5,5,5,5,2019-05-06 19:17:05.104439+00:00,2019-05-07 15:05:05.433304+00:00
spoc,219187649,00676.01,PC,171.206009,-18.617335,13.336,0.02,1544.343207,0.001876,2.150451,0.000289,1.573366,0.122278,8299.629504,578.0216,9,,4.41381,2.00406,1,1.00073,1.00073,10.472779,10.489842,1339.128108,5430.0,185.0,759.992849,14.74846,False,3,4,3,3,4,4,4,2019-05-06 19:17:05.459202+00:00,2019-05-07 15:05:05.392352+00:00
spoc,280206394,00677.01,PC,144.11955,-50.463285,9.239,0.018,1547.473883,0.000368,11.236613,0.00052,2.574321,0.033671,8716.362549,95.080574,9,,4.37882,0.315236,1,1.22391,0.150417,12.266536,1.511677,960.169043,6446.0,198.0,200.868484,96.77406,False,3,4,3,3,4,4,4,2019-05-06 19:17:05.592719+00:00,2019-05-07 15:05:05.378711+00:00
spoc,294395926,00678.01,PC,109.330954,-55.598227,10.871,0.019,1549.678379,0.005393,11.316715,0.007656,4.351661,0.97804,1040.164187,135.34758,9,Low priority lv 1; centroid offset on 294395913; T mag = 10.143 (an evolved star GAIA DR2 R = 10.77 Rsolar),4.39124,0.357916,1,1.05375,0.176713,3.418944,2.506339,811.276782,5624.0,187.0,102.375772,8.381478,False,2,4,2,2,4,4,4,2019-05-06 19:17:05.636923+00:00,2019-05-07 15:05:05.374195+00:00
spoc,308050066,00679.01,PC,155.43601,-17.224391,9.976,0.019,1552.072613,0.000737,11.175586,0.001056,5.697074,0.066493,7303.054018,116.80702,9,,3.9,0.16,1,2.04177,0.509048,18.199324,4.542675,1299.690736,6655.0,83.0,674.343374,65.07193,False,3,4,3,3,4,4,4,2019-05-06 19:17:05.753620+00:00,2019-05-07 15:05:05.360607+00:00
spoc,335499997,00680.01,PC,179.163859,-12.377443,8.953,0.019,1543.514628,0.00039,0.433716,1.3e-05,0.890312,0.098075,848.615718,26.184093,9,,3.9495,0.351821,1,1.83682,0.30245,5.741712,1.372976,3318.151211,5967.0,192.0,28648.751159,23.040173,False,3,4,3,3,4,4,4,2019-05-06 19:17:05.887858+00:00,2019-05-07 15:05:05.347044+00:00
spoc,410450228,00681.01,PC,117.89497,-60.412452,10.656,0.018,1546.476737,0.001273,15.778431,0.001807,3.360643,0.122936,6974.195747,313.84097,9,V-shaped; possible odd/even,3.79,0.17,1,1.23189,0.304797,13.082777,4.239843,1243.091302,7447.0,41.0,564.329966,42.580555,False,3,4,3,3,4,4,4,2019-05-06 19:17:06.021422+00:00,2019-05-07 15:05:05.333471+00:00
spoc,429304876,00682.01,PC,167.88584,-22.07256,9.181,0.017,1546.305878,0.001825,6.839299,0.00096,4.441711,0.193332,1243.185999,45.321964,9,slightly smaller radius in qlp (R = 3.91 Rsolar),3.92,0.12,1,1.14416,0.116379,4.087727,0.673015,1053.939838,5085.0,76.0,291.597829,21.252947,False,3,4,3,3,4,4,4,2019-05-06 19:17:06.065628+00:00,2019-05-07 15:05:05.328945+00:00
spoc,437248515,00683.01,PC,169.439008,-19.054775,11.394,0.018,1544.082263,0.000578,3.405923,0.000129,2.633613,0.030703,15630.084553,154.73161,9,WASP- 31 b,4.30907,0.0,1,1.25,0.0,17.032248,0.125951,1440.41531,6302.0,0.0,1017.353577,103.02424,False,5,5,5,5,5,5,5,2019-05-06 19:17:06.109948+00:00,2019-05-07 15:05:05.324363+00:00
spoc,462162948,00684.01,PC,150.4337,-59.850021,9.797,0.032,1546.467722,0.002209,19.847358,0.003103,2.380051,0.504869,1283.554415,130.69783,9,could be double the period,4.07548,1.24613,1,2.35947,1.45549,8.778562,6.315287,1465.358216,9488.0,242.0,1089.673067,9.936623,False,3,4,3,3,4,4,4,2019-05-06 19:17:06.198726+00:00,2019-05-07 15:05:05.315210+00:00
qlp,147977348,00640.01,PC,99.734606,-36.646167,10.002,0.018,1469.74738,0.00057,5.00353,0.00011,3.529,0.17,7298.34,1.24724,7 6,slightly large,3.9,0.4,1,2.2,0.12,20.6516,1.18747,1599.0,6107.2,175.0,1085.44,171.0,False,3,4,3,3,4,4,4,2019-03-26 13:55:21.046493+00:00,2019-05-06 17:40:24.549874+00:00
qlp,49079670,00641.01,PC,101.071859,-23.819282,9.875,0.019,1470.20305,0.00241,1.89253,0.00016,1.474,0.45,875.134,4.96879,7 6,,4.37,0.28,1,1.11,0.05,3.62081,0.314982,1742.0,5459.0,119.4,1531.93,21.0,False,1,4,1,1,4,4,4,2019-03-26 13:55:10.295262+00:00,2019-05-06 17:38:37.240943+00:00
qlp,79292541,00642.01,PC,104.055802,-20.052506,9.373,0.023,1470.7369,0.00147,2.27728,0.00032,1.65,0.105,1371.23,0.738764,6,crowded field; could be on 79292540,,,1,,,,,1990.0,9204.2,531.2,2607.15,34.0,False,3,4,3,3,4,4,4,2019-03-21 15:42:33.019440+00:00,2019-05-06 17:26:11.937673+00:00
qlp,281731203,00685.01,PC,163.032424,0.493333,9.94,0.02,1546.69251,0.00165,11.63344,0.00012,3.68,0.249,3289.1,1.67838,9,K2-261; only a single event seen in TESS data,3.88,0.45,1,1.83,0.09,11.538,0.614662,822.0,5287.7,128.3,76.0121,36.0,False,5,5,5,5,5,5,5,2019-04-30 16:55:01.339617+00:00,2019-05-02 17:19:11.105981+00:00
qlp,339857675,00686.01,PC,111.601093,-54.452164,9.925,0.018,1492.2149,0.00379,3.51364,0.00041,1.573,0.477,434.937,2.10907,9 8 7 6,low MES transit signal,4.26,0.36,1,1.63,0.07,3.7404,0.300489,1233.0,6279.8,127.2,384.196,10.0,False,3,4,3,3,4,4,4,2019-04-30 16:55:01.403227+00:00,2019-05-02 17:19:00.707173+00:00
qlp,74534430,00687.01,PC,137.671327,-45.097494,9.831,0.033,1525.56244,0.00557,18.15538,0.00277,4.296,1.394,1031.96,7.48987,9 8,period could be double (36.3 days); check bright star on the south west of this star,4.57,0.23,1,0.61,0.02,2.16722,0.195581,656.0,4253.9,63.6,30.814,11.0,False,2,4,1,1,4,4,4,2019-04-30 16:55:01.164429+00:00,2019-05-02 17:18:47.912886+00:00
qlp,339636032,00688.01,PC,110.194549,-55.379706,8.561,0.017,1390.54511,0.0043,6.87855,0.00029,2.796,0.525,255.393,0.545493,9 8 7 6,low MES; possible depth change with aperture; check stars to the SW,4.01,0.34,1,2.1,0.09,3.6977,0.232211,1093.0,6281.2,135.0,237.197,9.0,False,3,4,3,3,4,4,4,2019-04-30 16:55:01.027714+00:00,2019-05-02 17:16:32.018935+00:00
qlp,445822015,00689.01,,147.005721,-48.320866,10.622,0.018,1545.05695,0.00336,1.66402,0.00044,3.397,0.124,7964.45,480.731,,,4.71,0.28,1,0.78,0.02,7.65443,1.88798,2694.0,4841.3,52.9,8754.73,18.0,False,3,4,3,3,4,4,4,2019-05-02 14:07:53.955862+00:00,2019-05-02 14:48:15.188400+00:00
qlp,101497191,00690.01,,149.225753,-33.799341,10.244,0.019,1547.35119,0.0022,3.64376,0.00067,3.38,0.344,3632.91,19.2898,,need SG1 to check 101497184; assuming R ~ 1.0 R_solar (TIC) transiting object is about 5 Rearth,4.39,2.0,1,,,,,1887.0,5463.2,49.4,2107.88,29.0,False,3,4,3,3,4,4,4,2019-05-02 14:07:53.733448+00:00,2019-05-02 14:47:58.123616+00:00
qlp,259592689,00429.01,PC,72.976909,-53.830583,10.188,0.033,1395.22958,0.02002,14.8042,0.00643,9.528,0.539,7525.67,2.41013,5 4 3,single transit; use Tc of 1395.229 from table,4.45,2.0,1,0.98,0.03,9.33426,0.365245,1084.0,5160.7,90.5,229.346,124.0,False,3,4,3,3,4,4,4,2019-01-31 16:53:30.475537+00:00,2019-04-25 14:35:50.663086+00:00
qlp,14091633,00447.01,PC,77.260202,-36.464583,8.88,0.018,1440.93567,0.00029,5.52889,0.00015,2.351,0.061,20670.8,14.661,5,big;,4.34,0.3,1,1.29,0.04,20.4045,0.815507,1227.0,6350.0,95.4,376.981,176.0,False,3,4,3,3,4,4,4,2019-01-31 16:53:31.199177+00:00,2019-04-25 14:34:31.844808+00:00
qlp,14091704,00445.01,PC,77.323426,-36.590988,9.136,0.018,1438.41729,0.0006,0.76502,3e-05,1.028,0.163,1901.36,3.64386,5,V-shaped;,3.97,0.11,1,1.6,0.06,7.67076,0.453215,2316.0,6307.9,124.2,4780.34,74.0,False,3,4,3,3,4,4,4,2019-01-31 16:53:30.711262+00:00,2019-04-25 14:34:06.149643+00:00
qlp,143350972,00440.01,PC,82.246364,-17.429212,7.652,0.018,1439.13519,0.00219,1.0817,0.00014,1.588,0.222,341.533,0.495141,5,two stars in the same pixel;,4.45,0.01,1,1.02,0.01,2.07554,0.083749,1849.0,5759.2,38.2,1941.24,26.0,False,2,4,1,1,4,4,4,2019-01-31 16:53:30.356712+00:00,2019-04-25 14:33:27.161998+00:00
qlp,100990000,00411.01,PC,54.819851,-42.762575,7.74,0.019,1386.18895,0.00691,9.57219,0.00255,3.304,0.765,237.683,0.835883,4 3,,4.39,0.26,2,1.14,0.03,1.92697,0.128236,1009.0,6115.6,91.9,172.529,11.0,False,1,4,1,1,4,4,4,2019-01-16 19:24:29.535035+00:00,2019-04-25 14:30:24.615722+00:00
qlp,188989177,00433.01,PC,78.77844,-15.100444,9.098,0.017,1438.29916,0.00045,1.17409,4e-05,1.701,0.047,15161.7,704.605,5,secondary eclipse; two stars in the same pixel; depth is 3.6 ppt,3.74,0.57,1,3.72,0.16,50.4456,11.0935,3578.0,7765.2,167.9,27221.5,101.0,False,3,4,3,3,4,4,4,2019-01-31 16:53:31.317377+00:00,2019-04-25 14:29:25.857629+00:00
qlp,44647437,00435.01,PC,59.41046,-25.189962,12.829,0.019,1411.84583,0.00602,3.35319,0.00062,1.959,0.296,2917.67,7.89275,5 4,,,,1,0.59,0.03,3.53005,0.2633,810.0,4168.8,114.9,71.6886,13.0,False,2,4,1,1,4,4,4,2019-01-31 16:53:30.868647+00:00,2019-04-25 14:29:00.976054+00:00
qlp,209459275,00559.01,PC,46.818736,-31.162672,10.535,0.018,1411.92481,0.00083,6.98407,0.00042,5.232,0.242,8304.64,1.25866,4,possible tropical Jupiter; third of four transits visible in raw data,4.27,0.32,1,1.26,0.07,12.5914,0.699064,1300.0,5847.3,159.9,474.61,105.0,False,3,4,3,3,4,4,4,2019-01-18 16:50:41.220948+00:00,2019-04-25 14:26:20.988903+00:00
