TIC ID|CTOI|MASTER|SG1A|SG1B|SG2|SG3|SG4|SG5|User Disposition|TFOPWG Disposition|TESS Mag|TESS Mag err|RA|Dec|PM RA (mas/yr)|PM RA err (mas/yr)|PM Dec (mas/yr)|PM RA (mas/yr)|Midpoint (BJD)|Midpoint err|Period (days)|Period (days) Error|Depth mmag|Depth mmag Error|Depth ppm|Depth ppm Error|Duration (hrs)|Duration (hrs) Error|Inclination (deg)|Inclination (deg) Error|Impact Param|Impact Param Error|Rad_p/Rad_s|Rad_p/Rad_s Error|a/Rad_s|a/Rad_s Error|Radius (R_Earth)|Radius (R_Earth) Error|Mass (M_Earth)|Mass (M_Earth) Error|Insolation (Earth Flux)|Insolation (Earth Flux) Error|Equilibrium Temp (K)|Equilibrium Temp (K) Error|Fitted Stellar Density (g/cm^3)|Fitted Stellar Density (g/cm^3) Error|Semi-Major Axis (AU)|Semi-Major Axis (AU) Error|Eccentricity|Eccentricity (Error)|Arg of Periastron|Arg of Periastron Error|Time of Periastron (BJD)|Time of Periastron (BJD) Error|Velocity Semi-amp (m/s)|Velocity Semi-amp (m/s) Error|Stellar Distance (pc)|Stellar Distance (pc) err|Stellar Eff Temp (K)|Stellar Eff Temp (K) err|Stellar log(g) (cm/s^2)|Stellar log(g) (cm/s^2) err|Stellar Radius (R_Sun)|Stellar Radius (R_Sun) err|CTOI lastmod|User|Group|Tag|Notes
55659311|55659311.01||||||||PC||9.7909|0.006|74.117493|-64.487392|16.7|3|32.2|2.8|2458333.2503||||1723.701789||795581.929624859||11.6666666666667||||||||||69.1666758509751||||||||||||||||||||224.174||6351||||1.40249||2019-05-25 09:17:28|lipponen||3787|sector1
55659311|55659311.02||||||||PC||9.7909|0.006|74.117493|-64.487392|16.7|3|32.2|2.8|2458347.4712||||2457.4673||896004.851325378||10.0333333333333||||||||||49.3337128741899||||||||||||||||||||224.174||6351||||1.40249||2019-05-25 09:17:28|lipponen||3787|sector1
59859387|59859387.01||||||||PC||10.2761|0.006|110.369675|-45.567737|-9.997|0.042|11.584|0.048|2458492.61762789|.003662206698209047|1.1203692090387507|0.0003644502502682112|1.499692|0.115554|1380.3142476628366|106.42372685993868|1.7759963361283317|0.4783491759601486|83.95835150538771|6.241174691578492|.4739456001204265|.4980215025295313|.03715258063261335|.002025510413016879|4.502988028869415|.9545794034858104|5.976053955550512|.40878742579249583|||||||||||||||||||294.281|2.179|6778|134.572|4.26205|.0903449|1.47467|.0609246|2019-09-18 09:12:28|bouma|tfopwg|5723|Cand super neptune in Alessi 3 OC (CG18).  (CDIPS; Bouma+19)
70442570|70442570.01||||||||PC||5.6605|0.007|339.714464|-33.081281|4.04|0.306|15.473|0.222|2458343.6802||11.52708||2152.379319||862263.744458536||10.7||||||||||152.594347979128||||||||||||||||||||114.53|2.095|9376|268.533|3.82705|.0747892|3.11744|.13584|2019-06-06 03:40:31|lipponen||3787|sector1
70442570|70442570.02||||||||PC||5.6605|0.007|339.714464|-33.081281|4.04|0.306|15.473|0.222|2458335.7148||11.50486||3411.237398||956797.881789084||8.6||||||||||85.4607760463182||||||||||||||||||||114.53|2.095|9376|268.533|3.82705|.0747892|3.11744|.13584|2019-06-06 03:40:31|lipponen||3787|sector1
78740218|78740218.01||||||||PC||11.9019|0.007|103.112741|-22.310554|180.114|0.047|-105.692|0.075|2458472.19683|.00237|2.560154|0.000876|||0|0|0.094|0.002|89.96|.9|.007|.148|.0772|.002|9.4|.2|4.11|.17|||34|2.8|672.5|13.9|||.03|.0001|0|0|||||||58.438|.17945|3455|157|4.74613|.0078827|.490046|.0146733|2019-06-10 08:50:14|cloutier||4046|new CTOI from ORION (https://arxiv.org/abs/1812.08145)
91369561|91369561.01||||||||PC||10.9545|0.006|312.56831|-42.217968|5.167|0.087|-5.723|0.058|2458325.4969||0.07708333||9.375207||8597.71145619254||1.43333333333333||||||||||17.221951461617||||||||||||||||||||936.456|54.7305|7104.75|109.034|3.6456|.100164|3.13013|.227457|2019-06-22 00:19:17|lipponen||3787|sector1
91369561|91369561.02||||||||PC||10.9545|0.006|312.56831|-42.217968|5.167|0.087|-5.723|0.058|2458326.3872||3.993056||83.467735||73995.9075041421||7.43333333333333||||||||||50.5236570317272||||||||||||||||||||936.456|54.7305|7104.75|109.034|3.6456|.100164|3.13013|.227457|2019-06-22 00:19:17|lipponen||3787|sector1
91369561|91369561.03||||||||PC||10.9545|0.006|312.56831|-42.217968|5.167|0.087|-5.723|0.058|2458328.3775||3.992361||760.264021||503528.421548976||11.2666666666667||||||||||131.796210280039||||||||||||||||||||936.456|54.7305|7104.75|109.034|3.6456|.100164|3.13013|.227457|2019-06-22 00:19:17|lipponen||3787|sector1
92349924|92349924.01||||||||PC||10.8199|0.006|313.659442|-32.123248|-9.857|0.093|0.166|0.061|2458325.6681||8.800694||21.00341||19158.9448610857||2.66666666666667||||||||||32.9916865082824||||||||||||||||||||399.987|9.6705|6334.65|110.402|3.99153|.0808396|1.8695|.0865728|2019-06-22 00:19:17|lipponen||3787|sector1
92349924|92349924.02||||||||PC||10.8199|0.006|313.659442|-32.123248|-9.857|0.093|0.166|0.061|2458330.3819||||4.197082||3858.19313831138||2.36666666666667||||||||||14.8050781870562||||||||||||||||||||399.987|9.6705|6334.65|110.402|3.99153|.0808396|1.8695|.0865728|2019-06-22 00:19:17|lipponen||3787|sector1
92349924|92349924.03||||||||PC||10.8199|0.006|313.659442|-32.123248|-9.857|0.093|0.166|0.061|2458352.9426||||8.380346||7688.8717156105||0.9||||||||||20.9001802021717||||||||||||||||||||399.987|9.6705|6334.65|110.402|3.99153|.0808396|1.8695|.0865728|2019-06-22 00:19:17|lipponen||3787|sector1
92444219|92444219.01||||||||PC||12.0598|0.007|314.408549|-34.272627|189.43|2|-195.3|2|2458342.4729|.0037|39.52|31.27|||||||89.99|.41|||.07|0|49.71|37.71|3.07|.14|||.5|.45|||||||||||||||63.2953||3329|157|4.84746|.00287032|.377615|.0119765|2019-02-21 16:04:24|christiansen||2163|Planet candidates identified in https://arxiv.org/pdf/1812.08145.pdf
92594505|92594505.01||||||||PC||8.043|0.006|315.469491|-33.484986|-42.288|0.07|8.771|0.058|2458328.043||22.86875||88.664622||78417.6447394755||4.66666666666667||||||||||71.8804202241063||||||||||||||||||||151.815|1.1655|6302|130.618|3.7567|.0918392|2.44003|.123186|2019-06-22 00:19:17|lipponen||3787|sector1
100103200|100103200.01||||||||PC||8.69367|0.007|24.680268|-45.242392|-150.955|0.037|-70.213|0.043|2458380.0894|.0018|18.4462|0.0024|||||||90.45|.33|||.035|.002|51.4|9.45|1.97|.11|||4.2|.3|||||||||||||||16.7457|.0077|3850|157|4.72245|.00862631|.517124|.0153096|2019-02-21 16:05:46|christiansen||2163|Planet candidates identified in https://arxiv.org/pdf/1812.08145.pdf
110718787|110718787.01||||||||PC||13.947|0.009|114.73227|-29.388675|-5.686|0.031|5.036|0.036|2458494.4292960446|.0044722489546984425|3.091714320211069|0.0013290686352946945|67.319294|42.280037|60120.272153252605|38192.88542744477|3.4439057492176133|0.7457649159276827|81.23006025934117|4.592818441031647|.9064609789647936|.5351589933419222|.2451943558756045|.1101430258554906|5.945279655129896|1.6664156087517985|22.668424459817174|6.8005273379451525|||||||||||||||||||552.14|6.8215|5090|124|4.51113||.847579||2019-09-18 09:12:28|bouma|tfopwg|5724|Cand HJ in Haffner13 (30 Myr; CG18). Strong rot var.  PMs a bit off. (CDIPS; Bouma+19)
